Window,Midpoint,n,b_DMI,b_ENSO,RL100,T_eq_neg2sigma,P_fail50,sigma,xi
1950-1979,1964.5,30,-2.942539043073593,-21.85842365422515,479.4890207558866,95.3141669125404,39.5278614812612,44.63337036451285,0.21973358338343563
1955-1984,1969.5,30,-1.8353420183963163,-20.374840443856243,567.1788380916776,97.95759056236808,39.50499602575183,46.13311758527328,0.2929342469366999
1960-1989,1974.5,30,-10.087507276472824,-22.85472207411395,310.120982313539,53.792418383334194,43.25901852886636,47.63502747462648,-0.09054840887342541
1965-1994,1979.5,30,-2.438758293752228,-21.352214624415662,440.1282622234147,95.44998024635724,39.5255523854762,44.00753047728766,0.18833650797068235
1970-1999,1984.5,30,-4.86133847113677,-25.94303091640453,485.7716794803963,92.60980197636933,39.572108094972,45.14435865990997,0.22497302347624726
1975-2004,1989.5,30,-8.51140407814869,-17.97818125601896,435.68729812340746,82.87970900943027,39.90046433753742,48.65769151283264,0.13686215820249087
1980-2009,1994.5,30,-14.493543336682007,-19.30813273719707,476.77582467590037,71.71811303806666,40.68994213652424,62.567221759612764,0.07352815006424415
1984-2013,1998.5,30,-31.117664440365772,0.4446510483789397,483.9403261142819,49.178611355513105,44.83505294221215,63.59938190272696,0.0739516011496369
