Window,Midpoint,nstn,b_DMI,RL100,T_eq_neg2s
1950-1979,1964.5,4-6,-18.204235768298798,422.52158785178403,64.96855728040154
1955-1984,1969.5,4-6,-18.499995104922192,453.9094218679694,70.12027111981375
1960-1989,1974.5,5-6,-23.252518959390876,338.70559198590524,41.4064658332363
1965-1994,1979.5,5-6,-18.848322009611355,394.8955325065325,64.26682038110938
1970-1999,1984.5,5-6,-30.84384544952159,363.1197948827611,34.16449654462918
1975-2004,1989.5,5-6,-23.904556886270154,390.20322858370554,47.04886397631404
1980-2009,1994.5,6-6,-27.942175341331087,490.95618361971043,54.99136249718364
1984-2013,1998.5,6-6,-32.47247260813342,455.7652104725569,41.42901500303326
